2025-09-04,12:03:38,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,12:04:08,Paradise Hospital Pipe
2025-09-04,12:06:08,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,12:06:38,Nambis INN - Madang Pipe
2025-09-04,12:06:38,Highway Trunk Repairs -Lae Pipe
2025-09-04,12:05:38,BNBM-Madang Pipe
2025-09-04,12:07:38,ITJTC - 6 Mile Pipe
2025-09-04,12:11:08,BNBM-Madang Pipe
2025-09-04,12:11:38,Ela Beach Hotel Pipe
2025-09-04,12:11:38,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,12:09:38,Nambis INN - Madang Pipe
2025-09-04,12:12:38,CASA - HAGEN Pipe
2025-09-04,12:12:38,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,12:16:08,Chemica - Lae Market Pipe
2025-09-04,12:15:08,Deugro POM Office Pipe
2025-09-04,12:17:08,Hilton Admin Internet Pipe
2025-09-04,12:56:08,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,12:54:38,Australia Policing Partnership (APP) Apartments - Hagen DI Pipe
2025-09-04,12:53:08,Australia Policing Partnership (APP) Apartments - Hagen DI Pipe
2025-09-04,12:57:08,US Embassy Residence 2 CRM Pipe
2025-09-04,12:56:08,CASA - HAGEN Pipe
2025-09-04,12:53:38,NBPOL - Waraston Oil Mill Pipe
2025-09-04,12:57:08,Australia Policing Partnership (APP) Apartments - Hagen DI Pipe
2025-09-04,12:55:38,Australia Policing Partnership (APP) Apartments - Hagen DI Pipe
2025-09-04,12:57:38,CASA - HAGEN Pipe
2025-09-04,13:01:08,Guest Gazelle International Hotel Kokopo Pipe
2025-09-04,12:59:38,Guest Gazelle International Hotel Kokopo Pipe
2025-09-04,13:01:08,Australia Policing Partnership (APP) Apartments - Hagen DI Pipe
2025-09-04,13:06:38,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,12:51:08,Australia Policing Partnership (APP) Apartments - Hagen DI Pipe
2025-09-04,13:02:38,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,12:59:08,BNBM HAGEN Pipe
2025-09-04,13:03:08,Australia Policing Partnership (APP) Apartments - Hagen DI Pipe
2025-09-04,13:04:08,Guest Gazelle International Hotel Kokopo Pipe
2025-09-04,13:07:38,Guest Gazelle International Hotel Kokopo Pipe
2025-09-04,13:06:08,Fiji High Commission Pipe
2025-09-04,13:08:38,Fiji High Commission Pipe
2025-09-04,13:08:38,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,13:08:08,Australia Policing Partnership (APP) Apartments - Hagen DI Pipe
2025-09-04,13:10:08,Australia Policing Partnership (APP) Apartments - Hagen DI Pipe
2025-09-04,13:11:08,Nambis INN - Madang Pipe
2025-09-04,13:50:38,Mt Ararat Hote Hagen Pipe
2025-09-04,13:54:38,Holiday INN Pipe
2025-09-04,13:54:08,Guest Gazelle International Hotel Kokopo Pipe
2025-09-04,14:00:38,Guest Gazelle International Hotel Kokopo Pipe
2025-09-04,13:58:08,Guest Gazelle International Hotel Kokopo Pipe
2025-09-04,13:58:08,Paradise Hospital Pipe
2025-09-04,13:51:38,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,14:00:38,Fiji High Commission Pipe
2025-09-04,13:53:08,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,13:55:08,Mt Ararat Hote Hagen Pipe
2025-09-04,14:02:08,Paradise Hospital Pipe
2025-09-04,14:07:38,Mt Ararat Hote Hagen Pipe
2025-09-04,14:06:08,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,14:03:38,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,14:10:08,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,14:12:38,NBPOL - Waraston Oil Mill Pipe
2025-09-04,14:09:08,Guest Gazelle International Hotel Kokopo Pipe
2025-09-04,14:15:38,Guest Gazelle International Hotel Kokopo Pipe
2025-09-04,14:16:08,Fincorp Goroka Pipe
2025-09-04,14:18:08,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,14:20:08,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,14:14:08,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,14:21:38,Mt Ararat Hote Hagen Pipe
2025-09-04,14:19:38,Guest Gazelle International Hotel Kokopo Pipe
2025-09-04,14:16:38,Holiday INN Pipe
2025-09-04,22:08:08,Fincorp Hagen Pipe
2025-09-04,22:09:38,Holiday INN Pipe
2025-09-04,22:09:08,Farmset Madang Pipe
2025-09-04,22:09:08,CASA - HAGEN Pipe
2025-09-04,22:09:38,PNG Air- Vision City Pipe
2025-09-04,22:09:08,Care PNG -Goroka Pipe
2025-09-04,22:09:38,Professionals Estate Pipe
2025-09-04,22:09:08,Care PNG -Goroka Pipe
2025-09-04,22:10:08,High way auto electrical - lae Pipe
2025-09-04,22:10:38,Nambis INN - Madang Pipe
2025-09-04,22:11:08,Farmset Madang Pipe
2025-09-04,22:11:38,Fiji High Commission Pipe
2025-09-04,22:11:38,Care PNG -Goroka Pipe
2025-09-04,22:11:38,Fincorp Hagen Pipe
2025-09-04,8:49:38,Akaliko PNG Ltd - Napanapa Pipe
2025-09-04,8:46:38,Ready Mix LAE DI Pipe
2025-09-04,8:42:38,AON Risk Services - Fairfax Apartment Pipe
2025-09-04,8:51:08,BNBM-Madang Pipe
2025-09-04,8:50:38,Ready Mix LAE DI Pipe
2025-09-04,8:57:08,BNBM-Madang Pipe
2025-09-04,8:52:38,BNBM Rabaul Pipe
2025-09-04,8:44:38,US Embassy Residence 2 CRM Pipe
2025-09-04,8:57:09,US Embassy Residence 2 CRM Pipe
2025-09-04,8:45:08,ITJTC - 6 Mile Pipe
2025-09-04,8:48:38,Wellness Clinic Lae Pipe
2025-09-04,8:47:08,Paradise Hospital Pipe
2025-09-04,8:52:08,Paradise Hospital Pipe
2025-09-04,8:47:08,BNBM Rabaul Pipe
2025-09-04,8:56:38,Chemica - Lae Market Pipe
2025-09-04,8:51:08,ITJTC - 6 Mile Pipe
2025-09-04,8:49:08,NBBOL Kimbe _Oil Mill Pipe
2025-09-04,8:53:08,Paradise Hospital Pipe
2025-09-04,8:52:38,Ready Mix LAE DI Pipe
2025-09-04,8:57:09,ITJTC - 6 Mile Pipe
2025-09-04,8:57:38,Chemica POM Pipe
2025-09-04,8:54:38,US Embassy Residence 2 CRM Pipe
2025-09-04,8:57:08,BNBM Rabaul Pipe
2025-09-04,8:54:08,Holiday INN Pipe
2025-09-04,8:50:08,Nambis INN - Madang Pipe
2025-09-04,9:07:08,AON Risk Services - Fairfax Apartment Pipe
2025-09-04,8:59:08,BNBM-Madang Pipe
2025-09-04,9:04:08,BNBM-Madang Pipe
2025-09-04,9:02:38,Nambis INN - Madang Pipe
2025-09-04,9:12:38,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,9:16:38,AON Risk Services - Fairfax Apartment Pipe
2025-09-04,8:59:38,Chemica - Lae Market Pipe
2025-09-04,9:15:38,AON Risk Services - Fairfax Apartment Pipe
2025-09-04,9:11:38,AON Risk Services - Fairfax Apartment Pipe
